transaction_id,item_name,quantity,procurement_method,unit_price,average_price,supplier,procurement_officer,transaction_date
1,Pipette 10ml,2915,Competitive Bidding,964.21,914.14,"Jones, Perez and Carter",Luke Andrew Navarro,2024-10-03
2,Microscope Slides,9881,Competitive Bidding,486.17,513.74,Hopkins and Sons,Sophia Christine Navarro,2025-03-16
3,Prism glass,1858,Competitive Bidding,666.51,704.14,Brown PLC,Sophia Christine Navarro,2024-09-17
4,Beaker 250ml,4039,Competitive Bidding,1089.82,1208.93,"Vance, Love and Smith",Casey Hernandez,2024-10-19
5,Fire Blanket,9968,Competitive Bidding,1118.4,1134.78,"Rose, Nguyen and Davis",Casey Hernandez,2025-01-23
6,Microscope Slides,6476,Limited Source Bidding,462.39,513.74,Fischer-Shaw,Angela Renee Mendoza,2024-05-13
7,Pipette 10ml,6947,Direct Contracting,978.79,914.14,"Ramirez, Forbes and Lloyd",Angela Renee Mendoza,2024-07-18
8,Laboratory Rubber Stoppers,1705,Limited Source Bidding,491.86,533.34,"Rice, Johnson and Hays",Christine Bautista,2025-01-31
9,Thermometer (-10 to 110C),3142,Competitive Bidding,898.69,934.64,"Harris, Robinson and Nelson",Casey Hernandez,2025-03-14
10,Laboratory Gloves nitrile box of 100,7557,Competitive Bidding,537.37,520.13,Reyes and Sons,Taylor Martinez,2025-01-17
11,Stopwatch digital,7991,Negotiated Procurement,520.63,587.22,"Ibarra, Perkins and Garner",Casey Hernandez,2024-09-23
12,Microscope Slides,5796,Negotiated Procurement,474.62,513.74,Hamilton-Arnold,Angela Renee Mendoza,2024-04-21
13,Thermometer (-10 to 110C),2614,Limited Source Bidding,1025.16,934.64,"Colon, Henderson and Rivera",Sophia Christine Navarro,2025-02-21
14,Universal Indicator Solution 100ml,7048,Competitive Bidding,1246.98,1161.55,Prince LLC,James Patrick Mendoza,2025-02-23
15,Thermometer (-10 to 110C),8504,Competitive Bidding,866.77,934.64,Mckinney Inc,Christine Bautista,2024-10-02
16,pH Meter basic,9598,Competitive Bidding,690.38,693.84,Lowery-Walker,Jamie Thompson,2024-12-11
17,Thermometer (-10 to 110C),2027,Competitive Bidding,977.41,934.64,"Harrington, Gomez and Sanchez",Taylor Martinez,2024-11-12
18,pH Meter basic,9598,Competitive Bidding,672.21,693.84,"Rodriguez, Page and Cooper",Christine Bautista,2025-01-30
19,Hydrochloric Acid Science Laboratory,9279,Limited Source Bidding,1902.05,1780.24,Caldwell Group,Angela Ramirez,2024-05-01
20,Refracting Telescope 70mm,4814,Competitive Bidding,5093.04,4826.42,"Munoz, Valdez and Perry",Taylor Martinez,2024-11-23
21,Bunsen Burner,3061,Limited Source Bidding,1237.38,1198.4,Chavez LLC,Christine Bautista,2025-01-07
22,Hot Plate basic,2355,Negotiated Procurement,1702.33,1701.84,Chung Inc,Taylor Martinez,2024-10-28
23,Universal Indicator Solution 100ml,8612,Competitive Bidding,1199.67,1161.55,Byrd Inc,Casey Hernandez,2024-07-13
24,Test Tube 15ml,8047,Direct Contracting,917.31,819.28,"Hammond, Holland and Ali",Alex Rivera,2024-06-09
25,Microscope Coverslips box of 100,9512,Competitive Bidding,652.13,641.2,"Bird, Mcgee and Johnston",Morgan Cruz,2025-01-15
26,Bar Magnet pair,7732,Limited Source Bidding,469.75,450.69,"Pittman, Wade and Werner",Alex Rivera,2024-09-09
27,Graduated Cylinder 100ml,2762,Competitive Bidding,605.52,651.28,"Smith, Morris and Chapman",Casey Hernandez,2025-03-07
28,Microscope Coverslips box of 100,5628,Direct Contracting,705.29,641.2,Zimmerman-Webster,Taylor Martinez,2024-11-29
29,Lab Manual - Grade 10 Science,6650,Competitive Bidding,1456.91,1436.51,"Thomas, Perez and Johnson",Angela Ramirez,2025-01-26
30,Laboratory Spatula stainless steel,2182,Negotiated Procurement,506.86,553.62,Torres LLC,Casey Hernandez,2024-08-21
31,Beaker 50ml,6350,Negotiated Procurement,899.54,836.08,"Martinez, Martinez and Martinez",Angela Ramirez,2025-02-12
32,Thermometer (-10 to 110C),3904,Limited Source Bidding,966.59,934.64,"Pham, Dixon and Jimenez",Jamie Thompson,2024-04-11
33,Beaker 50ml,8228,Negotiated Procurement,847.92,836.08,Parks-Nguyen,Angela Renee Mendoza,2024-08-22
34,Stopwatch digital,2253,Competitive Bidding,601.27,587.22,"Tyler, Newman and Torres",Jamie Thompson,2024-08-01
35,Funnel plastic 100mm,9542,Direct Contracting,737.78,739.87,Cline-Manning,Sophia Christine Navarro,2024-06-29
36,Spring Scale 500g,6883,Competitive Bidding,673.62,729.57,Barry Ltd,Christine Bautista,2024-07-03
37,Petri Dishes pack of 20,7548,Limited Source Bidding,700.18,738.19,Black-Torres,Morgan Cruz,2025-02-17
38,Test Tube 15ml,1637,Competitive Bidding,761.06,819.28,Jones-Rush,Jamie Thompson,2024-08-13
39,Tuning Fork 256 Hz,5834,Competitive Bidding,687.05,689.02,Sanders-York,Taylor Martinez,2024-10-01
40,Erlenmeyer Flask 250ml,9299,Competitive Bidding,1376.55,1280.16,Peters and Sons,Alex Rivera,2024-09-08
41,Hydrochloric Acid Science Laboratory,2440,Competitive Bidding,1899.65,1780.24,Harding Inc,Sophia Christine Navarro,2025-02-28
42,Graduated Cylinder 100ml,5963,Competitive Bidding,643.93,651.28,"Leblanc, Chambers and Pierce",Luke Andrew Navarro,2025-03-12
43,Laboratory Agar Powder 100g,1084,Direct Contracting,1958.69,2046.24,Avila LLC,Casey Hernandez,2024-08-04
44,Tuning Fork 256 Hz,3159,Competitive Bidding,639.28,689.02,Elliott-Moses,Taylor Martinez,2024-07-05
45,Graduated Cylinder 100ml,5421,Competitive Bidding,701.33,651.28,Lewis Group,Taylor Martinez,2024-06-17
46,Voltmeter basic,3538,Competitive Bidding,730.56,777.73,Soto Inc,Casey Hernandez,2024-08-04
47,Funnel plastic 100mm,7928,Competitive Bidding,674.0,739.87,Woodward Ltd,James Patrick Mendoza,2025-02-16
48,Microscope Coverslips box of 100,7860,Negotiated Procurement,576.75,641.2,"Dean, Reed and Pruitt",Luke Andrew Navarro,2024-11-19
49,Lab Manual - Grade 10 Science,2942,Competitive Bidding,1445.55,1436.51,Adams Inc,Angela Ramirez,2025-01-06
50,Beaker 100ml,3470,Competitive Bidding,934.24,855.46,Gibbs LLC,Sophia Christine Navarro,2025-03-04
51,pH Meter basic,5563,Negotiated Procurement,766.02,693.84,Deleon-Gomez,James Patrick Mendoza,2024-09-26
52,Laboratory Agar Powder 100g,7786,Competitive Bidding,1877.16,2046.24,"James, Cruz and Peters",James Patrick Mendoza,2024-09-17
53,Petri Dishes pack of 20,5248,Limited Source Bidding,782.64,738.19,Castillo PLC,Jamie Thompson,2024-05-19
54,Funnel plastic 100mm,6325,Competitive Bidding,668.4,739.87,Le Group,Sophia Christine Navarro,2025-02-14
55,Hydrochloric Acid Science Laboratory,5363,Limited Source Bidding,1847.9,1780.24,"Patterson, Mayo and Perry",Alex Rivera,2024-06-05
56,Pipette 10ml,2003,Competitive Bidding,855.34,914.14,Lopez-Brown,Morgan Cruz,2024-06-15
57,Tuning Fork 256 Hz,3816,Competitive Bidding,682.9,689.02,Underwood PLC,Luke Andrew Navarro,2024-04-25
58,Bunsen Burner,4466,Competitive Bidding,1086.16,1198.4,Brooks-Little,Angela Ramirez,2024-12-22
59,pH Meter basic,8212,Negotiated Procurement,679.59,693.84,Wise-Green,Morgan Cruz,2025-03-19
60,Ammeter basic,8936,Competitive Bidding,1149.75,1158.64,Wang Inc,Taylor Martinez,2024-06-01
61,Copper Sulfate,1854,Limited Source Bidding,1675.83,1804.88,Davis-Chan,Sophia Christine Navarro,2024-10-24
