transaction_id,item_name,quantity,procurement_method,unit_price,average_price,supplier,procurement_officer,transaction_date
1,Microscope Slides,3996,Competitive Bidding,545.61,513.74,Burgess PLC,Jamie Thompson,2024-10-04
2,Hydrochloric Acid Science Laboratory,1220,Competitive Bidding,1654.78,1780.24,"Reeves, Ray and Morris",Christine Bautista,2024-08-31
3,Ammeter basic,8533,Limited Source Bidding,1182.76,1158.64,Vasquez-Bryan,Angela Renee Mendoza,2024-07-30
4,Voltmeter basic,7765,Competitive Bidding,824.76,777.73,Alexander Group,Casey Hernandez,2024-08-17
5,Pipette 10ml,1517,Competitive Bidding,927.07,914.14,Harris-Pruitt,Casey Hernandez,2024-12-16
6,Laboratory Rubber Stoppers,4852,Direct Contracting,536.18,533.34,Martin-Cisneros,Jamie Thompson,2024-08-06
7,Thermometer (-10 to 110C),4786,Competitive Bidding,891.88,934.64,Sandoval LLC,Angela Ramirez,2025-03-06
8,Pipette 10ml,2115,Negotiated Procurement,955.12,914.14,Mccoy-Mack,Sophia Christine Navarro,2025-02-11
9,Test Tube Rack,4715,Competitive Bidding,1140.08,1114.18,Collins Ltd,Angela Renee Mendoza,2025-02-17
10,Dissecting Kit,5054,Limited Source Bidding,801.82,856.35,Bell Ltd,Sophia Christine Navarro,2024-06-21
11,Erlenmeyer Flask 250ml,3001,Negotiated Procurement,1195.59,1280.16,"Cook, Mendez and Green",Taylor Martinez,2024-06-29
12,pH Meter basic,3890,Limited Source Bidding,720.27,693.84,Larsen Group,Casey Hernandez,2024-07-21
13,Thermometer (-10 to 110C),5865,Competitive Bidding,901.29,934.64,Schmidt Ltd,Christine Bautista,2024-07-14
14,Hot Plate basic,4254,Negotiated Procurement,1473.6,1701.84,"Huynh, Jimenez and Hanson",Casey Hernandez,2024-04-07
15,Litmus Paper,6773,Limited Source Bidding,425.98,413.84,"Reyes, Lewis and Green",Angela Ramirez,2024-11-23
16,Erlenmeyer Flask 250ml,4231,Direct Contracting,1437.61,1280.16,"Sullivan, Murillo and Anderson",Angela Ramirez,2025-02-10
17,Laboratory Alcohol Burner,5097,Direct Contracting,579.16,574.0,"Thomas, Green and Orr",Angela Renee Mendoza,2024-10-02
18,pH Meter basic,3618,Competitive Bidding,674.76,693.84,"Phillips, Terry and Brown",Alex Rivera,2025-03-16
19,Microscope Slides,7127,Competitive Bidding,507.37,513.74,Cook-Warner,Angela Renee Mendoza,2025-01-21
20,Dropper Bottle 50ml,3801,Limited Source Bidding,409.96,423.92,Proctor PLC,Alex Rivera,2024-07-07
21,Laboratory Alcohol Burner,1523,Competitive Bidding,591.99,574.0,"Sanchez, Mccullough and Taylor",Casey Hernandez,2024-07-11
22,Compound Microscope (1000x),6164,Competitive Bidding,5705.03,5498.64,"Craig, Valdez and Gallagher",Alex Rivera,2025-04-04
23,Test Tube Brush,1520,Competitive Bidding,380.5,407.9,Taylor-Rodriguez,Casey Hernandez,2024-10-29
24,pH Meter basic,1747,Negotiated Procurement,668.65,693.84,Jones-Turner,Angela Renee Mendoza,2024-07-06
25,Erlenmeyer Flask 250ml,6782,Competitive Bidding,1172.87,1280.16,Davis-Hahn,Jamie Thompson,2024-04-08
26,Lens Set convex concave,4187,Negotiated Procurement,895.71,860.27,"Wilson, Goodman and Acosta",Alex Rivera,2025-01-11
27,Laboratory Rubber Stoppers,2264,Limited Source Bidding,503.08,533.34,Luna PLC,Sophia Christine Navarro,2024-07-06
28,Bar Magnet pair,8411,Limited Source Bidding,436.28,450.69,"Fritz, Lee and Mcdonald",Luke Andrew Navarro,2025-03-21
29,Tuning Fork 256 Hz,8906,Competitive Bidding,620.13,689.02,"Collier, Johnson and Padilla",Jamie Thompson,2024-10-16
30,Bar Magnet pair,4803,Competitive Bidding,472.24,450.69,Sheppard-Barnett,Morgan Cruz,2024-11-24
31,Fire Blanket,2176,Competitive Bidding,1068.46,1134.78,Duke Ltd,Angela Ramirez,2025-02-14
32,Laboratory Safety Goggles,4145,Limited Source Bidding,672.46,711.31,Hanson Group,Angela Renee Mendoza,2024-11-29
33,Iron Filings 250g,2858,Limited Source Bidding,985.91,933.07,"Frey, Phillips and James",Casey Hernandez,2024-07-24
34,Bar Magnet pair,8848,Negotiated Procurement,450.73,450.69,"White, Hayes and Williamson",Jamie Thompson,2025-02-03
35,Bunsen Burner,5761,Competitive Bidding,1216.69,1198.4,Juarez-Marshall,Jamie Thompson,2024-11-20
36,Test Tube Rack,5822,Direct Contracting,1172.27,1114.18,"Knight, Whitehead and Farley",Sophia Christine Navarro,2024-08-19
37,Bar Magnet pair,5881,Direct Contracting,384.6,450.69,Hernandez Inc,Luke Andrew Navarro,2024-06-08
38,Microscope Coverslips box of 100,4160,Negotiated Procurement,565.12,641.2,"White, Lopez and Perez",Jamie Thompson,2024-05-17
39,Tuning Fork 256 Hz,7648,Negotiated Procurement,724.67,689.02,"Armstrong, Rich and Coleman",Sophia Christine Navarro,2024-07-15
40,Hydrochloric Acid Science Laboratory,8937,Negotiated Procurement,1609.51,1780.24,Moses-Gardner,Morgan Cruz,2024-07-20
41,Copper Sulfate,1455,Direct Contracting,1908.65,1804.88,Baker PLC,Taylor Martinez,2024-09-03
42,Test Tube Brush,4916,Competitive Bidding,393.57,407.9,Chavez Inc,Christine Bautista,2024-05-15
43,Voltmeter basic,3684,Competitive Bidding,729.63,777.73,Johnson Inc,Angela Ramirez,2024-11-20
44,Beaker 100ml,6916,Competitive Bidding,824.38,855.46,"Orozco, Ingram and Williams",Alex Rivera,2024-10-15
45,Laboratory Aprons pack of 10,7666,Competitive Bidding,3310.69,3094.0,Townsend and Sons,Taylor Martinez,2024-04-18
46,pH Meter basic,1789,Competitive Bidding,729.99,693.84,"Miller, Blankenship and Wilson",Jamie Thompson,2024-08-10
47,Test Tube Brush,5809,Competitive Bidding,402.85,407.9,Snyder-Rosario,Casey Hernandez,2024-06-19
48,Hydrochloric Acid Science Laboratory,6366,Negotiated Procurement,1597.82,1780.24,Mendoza and Sons,James Patrick Mendoza,2024-10-06
49,Lab Manual - Grade 10 Science,6611,Negotiated Procurement,1354.23,1436.51,Farley-Rivera,Casey Hernandez,2024-04-19
50,Stopwatch digital,8176,Competitive Bidding,583.89,587.22,Jackson-Steele,Morgan Cruz,2024-06-03
51,Hydrochloric Acid Science Laboratory,9366,Competitive Bidding,1768.92,1780.24,Farmer-Jordan,James Patrick Mendoza,2025-01-30
52,Beaker 50ml,7681,Negotiated Procurement,842.66,836.08,Stevenson LLC,Taylor Martinez,2024-11-27
53,Graduated Cylinder 100ml,7880,Competitive Bidding,704.12,651.28,Parsons Group,Luke Andrew Navarro,2025-01-30
54,Laboratory Aprons pack of 10,7599,Competitive Bidding,3179.69,3094.0,"Holmes, Matthews and Hoffman",Jamie Thompson,2024-12-02
55,Laboratory Aprons pack of 10,5413,Competitive Bidding,2970.67,3094.0,Sandoval and Sons,Luke Andrew Navarro,2024-09-20
56,Litmus Paper,6040,Limited Source Bidding,395.01,413.84,Hendrix-Cortez,Alex Rivera,2024-04-30
57,Graduated Cylinder 100ml,8665,Competitive Bidding,691.64,651.28,Holland-Carr,Sophia Christine Navarro,2024-09-22
58,Copper Sulfate,8209,Negotiated Procurement,1607.18,1804.88,Cooper PLC,Casey Hernandez,2025-01-09
59,Test Tube Brush,1447,Competitive Bidding,382.51,407.9,"Rogers, Nguyen and Osborne",James Patrick Mendoza,2024-04-21
60,Laboratory Alcohol Burner,8714,Competitive Bidding,621.37,574.0,Garza-Thompson,Alex Rivera,2024-07-03
61,Iron Filings 250g,3204,Limited Source Bidding,979.27,933.07,Harrison Group,Angela Renee Mendoza,2024-08-11
62,Beaker 250ml,1686,Negotiated Procurement,1344.5,1208.93,Garrett-Hammond,Casey Hernandez,2024-07-20
63,Lab Manual - Grade 10 Science,4804,Negotiated Procurement,1329.26,1436.51,Nguyen-Gentry,Christine Bautista,2024-09-21
64,Compound Microscope (1000x),9727,Competitive Bidding,5695.3,5498.64,Torres-Johnson,Jamie Thompson,2025-01-17
65,Bar Magnet pair,4391,Negotiated Procurement,415.85,450.69,Pearson-Williamson,James Patrick Mendoza,2024-09-23
66,Bar Magnet pair,4235,Negotiated Procurement,439.98,450.69,Martinez PLC,Alex Rivera,2024-05-06
67,Beaker 50ml,1993,Limited Source Bidding,913.65,836.08,"Walters, Williams and Boone",Luke Andrew Navarro,2024-08-21
68,Beaker 50ml,5708,Competitive Bidding,897.17,836.08,Salas LLC,Angela Renee Mendoza,2025-04-04
69,Laboratory Spatula stainless steel,9106,Competitive Bidding,604.6,553.62,"Morris, Nicholson and Copeland",James Patrick Mendoza,2024-06-25
70,Dropper Bottle 50ml,2748,Limited Source Bidding,445.19,423.92,"Reyes, Santos and Vazquez",Sophia Christine Navarro,2024-12-03
71,Petri Dishes pack of 20,6374,Limited Source Bidding,784.75,738.19,"Carey, Roman and Ramos",Taylor Martinez,2025-01-22
72,pH Meter basic,7239,Limited Source Bidding,631.63,693.84,Durham Group,James Patrick Mendoza,2024-04-26
73,Funnel plastic 100mm,8975,Competitive Bidding,701.87,739.87,Morris-Diaz,Morgan Cruz,2024-04-21
74,Spring Scale 500g,7024,Competitive Bidding,744.38,729.57,Richardson-Flowers,Christine Bautista,2024-11-24
75,Graduated Cylinder 100ml,7132,Limited Source Bidding,616.7,651.28,Barrett PLC,Angela Renee Mendoza,2024-07-08
76,Beaker 250ml,4760,Negotiated Procurement,1309.79,1208.93,"Powell, Davis and Davis",Casey Hernandez,2025-03-12
77,pH Meter basic,5454,Competitive Bidding,732.34,693.84,Harris Inc,Angela Ramirez,2024-07-14
78,Ammeter basic,6145,Competitive Bidding,1103.29,1158.64,Phillips-Jordan,Angela Ramirez,2024-09-25
79,Beaker 250ml,1708,Direct Contracting,1235.0,1208.93,Cole-Shepard,Alex Rivera,2024-11-02
80,Compound Microscope (1000x),4400,Direct Contracting,5732.39,5498.64,Alvarez-Jarvis,Taylor Martinez,2024-05-18
81,Laboratory Safety Goggles,6595,Competitive Bidding,648.38,711.31,Bryan Group,Alex Rivera,2024-08-01
82,Dropper Bottle 50ml,7947,Negotiated Procurement,407.53,423.92,Herrera PLC,Christine Bautista,2024-12-28
83,Dropper Bottle 50ml,2029,Limited Source Bidding,412.98,423.92,"Sanchez, Schwartz and Brown",Alex Rivera,2024-12-17
84,Microscope Slides,1482,Direct Contracting,515.69,513.74,Woodward Group,Luke Andrew Navarro,2024-06-29
85,Copper Sulfate,2344,Competitive Bidding,1887.77,1804.88,Stephenson PLC,Alex Rivera,2024-10-04
86,Tuning Fork 256 Hz,1735,Competitive Bidding,744.13,689.02,Hogan-Shaffer,Morgan Cruz,2024-12-17
87,Hot Plate basic,1583,Competitive Bidding,1557.9,1701.84,"Thompson, Diaz and Gomez",Angela Renee Mendoza,2025-03-30
88,Microscope Slides,5440,Limited Source Bidding,496.44,513.74,Campbell-Barrett,Christine Bautista,2024-06-12
89,Tuning Fork 256 Hz,3539,Negotiated Procurement,619.4,689.02,Carroll-Weiss,Jamie Thompson,2024-08-26
90,Laboratory Aprons pack of 10,5978,Competitive Bidding,3300.65,3094.0,Clark-Ramirez,Taylor Martinez,2024-09-10
